<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.07	3960.25	3990.80	3940.73	3984.24	201003	0	26
2025.10.08	3984.25	4059.05	3982.88	4040.81	199714	0	26
2025.10.09	4040.21	4057.75	3944.27	3975.97	224564	0	26
2025.10.10	3974.02	4022.30	3946.63	4018.47	222324	0	26
2025.10.13	3999.31	4116.81	3998.87	4110.47	207952	0	26
2025.10.14	4110.84	4179.47	4090.44	4142.01	230337	0	26
2025.10.15	4143.96	4217.92	4140.40	4207.92	207263	0	26
2025.10.16	4208.53	4330.39	4199.47	4325.84	213921	0	26
2025.10.17	4328.98	4379.25	4186.25	4246.81	254958	0	26
2025.10.20	4246.45	4381.57	4218.85	4355.71	237373	0	26
2025.10.21	4354.46	4375.43	4080.37	4124.49	249041	0	26
2025.10.22	4125.42	4161.06	4004.04	4098.23	241448	0	26
2025.10.23	4095.42	4154.45	4065.76	4125.83	229653	0	26
2025.10.24	4127.80	4143.97	4043.96	4113.00	216506	0	26
2025.10.27	4102.31	4109.05	3971.08	3981.24	239620	0	26
2025.10.28	3984.46	4019.60	3886.39	3952.32	226486	0	26
2025.10.29	3954.90	4030.05	3915.71	3929.63	234236	0	26
2025.10.30	3930.42	4027.18	3914.89	4024.12	226782	0	26
2025.10.31	4023.09	4045.60	3972.48	4001.83	241899	0	26
2025.11.03	3981.05	4030.63	3962.43	4000.99	217020	0	26
2025.11.04	4001.57	4005.93	3928.55	3931.51	210961	0	26
2025.11.05	3931.84	3990.35	3928.76	3978.94	195999	0	26
2025.11.06	3979.44	4019.57	3964.71	3976.57	199306	0	26
2025.11.07	3976.15	4027.56	3973.98	4001.22	180503	0	26
2025.11.10	4000.51	4116.48	3997.64	4115.53	203657	0	26
2025.11.11	4115.26	4148.52	4096.92	4126.01	200128	0	26
2025.11.12	4126.50	4211.71	4098.80	4195.22	229178	0	26
2025.11.13	4201.80	4245.24	4145.12	4170.81	233685	0	26
2025.11.14	4171.12	4211.08	4031.88	4084.89	230110	0	26
2025.11.17	4086.11	4106.62	4006.81	4045.10	221127	0	26
2025.11.18	4044.02	4082.00	3997.96	4067.31	219235	0	26
2025.11.19	4067.97	4132.33	4055.49	4077.65	216752	0	26
2025.11.20	4079.44	4110.23	4038.35	4077.13	229510	0	26
2025.11.21	4076.16	4101.09	4021.99	4065.73	226282	0	26
2025.11.24	4071.69	4139.76	4039.46	4134.25	208008	0	26
2025.11.25	4133.37	4159.15	4108.72	4130.16	221902	0	26
2025.11.26	4131.46	4173.26	4129.36	4163.74	142906	0	26
2025.11.27	4165.30	4168.55	4142.64	4156.24	78102	0	30
2025.11.28	4160.28	4225.99	4153.79	4218.55	51466	0	27
2025.12.01	4222.54	4264.54	4205.78	4232.10	133188	0	25
2025.12.02	4231.64	4235.82	4163.70	4205.60	120092	0	30
2025.12.03	4208.87	4241.42	4194.53	4203.05	118820	0	30
2025.12.04	4204.01	4219.42	4175.25	4208.64	122740	0	30
2025.12.05	4208.19	4259.16	4191.95	4195.97	114874	0	30
2025.12.08	4198.88	4218.88	4176.39	4190.52	113683	0	30
